País,Vino más común,Cantidad
Argentina,Malbec,757
Armenia,Kangoun,1
Australia,Shiraz,302
Austria,Grüner Veltliner,605
Bosnia and Herzegovina,Vranec,1
Brazil,Sparkling Blend,6
Bulgaria,Cabernet Sauvignon,13
Canada,Riesling,23
Chile,Cabernet Sauvignon,393
Croatia,Plavac Mali,11
Cyprus,White Blend,3
Czech Republic,Cabernet Moravia,1
England,Sparkling Blend,21
France,Bordeaux-style Red Blend,2380
Georgia,Saperavi,15
Germany,Riesling,875
Greece,White Blend,36
Hungary,Furmint,14
India,Shiraz,2
Israel,Cabernet Sauvignon,56
Italy,Red Blend,1870
Lebanon,Red Blend,10
Luxembourg,Riesling,2
Macedonia,Vranec,2
Mexico,Red Blend,9
Moldova,Cabernet Sauvignon,4
Morocco,Red Blend,4
New Zealand,Pinot Noir,281
Peru,Red Blend,3
Portugal,Portuguese Red,1246
Romania,Sauvignon Blanc,11
Serbia,Red Blend,2
Slovakia,Riesling,1
Slovenia,Sauvignon Blanc,6
South Africa,Sauvignon Blanc,102
Spain,Tempranillo,707
Switzerland,Pinot Noir,2
Turkey,Red Blend,10
US,Pinot Noir,4918
Ukraine,Sparkling Blend,4
Uruguay,Tannat,28
